id;nome;descricao;pontuacao_minima
1;protocol supply-chains;Tuna holistic violet;93530
2;initiative Versatile;Hong Kong;54181
3;Wooden Bike;calculating Automotive transmitting;18277
4;Ergonomic Tactics Principal;methodologies Functionality;20017
5;Realigned;Dynamic;72900
6;Ergonomic Soft Computer Markets Applications;Quality Alaska;85737
7;plum Chief;Metal Auto Loan Account Course;97231
8;Accountability Technician Awesome;Mouse Avon Ergonomic;32968
9;alarm Texas;solid state;92962
10;whiteboard;Naira Sleek;27052
