id;data_de_processamento;valor_total;status;pontuacao_ganhar
1;2020-10-09;94962;ATRASADA;Strategist distributed
2;2020-10-08;7844;CANCELADA;Bacon
3;2020-10-08;83821;CANCELADA;Avon microchip
4;2020-10-09;43792;CANCELADA;Synergistic Public-key Assurance
5;2020-10-09;7614;ATRASADA;leading-edge expedite deposit
6;2020-10-09;45066;GERADA;Louisiana Pines encompassing
7;2020-10-09;93173;CANCELADA;Handcrafted Intelligent Frozen Table
8;2020-10-09;36197;ATRASADA;Motorway Indonesia Street
9;2020-10-09;82356;CANCELADA;optical
10;2020-10-08;71021;GERADA;Credit Card Account Functionality deposit
