id;nome;local;data_compra;valor
1;Specialist;COM Dynamic Strategist;2020-10-08T21:14:26;98038
2;Savings Account Antarctica (the territory South of 60 deg S) Soft;Synergistic;2020-10-09T14:48:42;96928
3;program Fresh time-frame;Mozambique Buckinghamshire bypass;2020-10-09T08:31:04;7723
4;withdrawal Tanzanian Shilling;parse withdrawal Cambridgeshire;2020-10-09T19:50:43;50038
5;deposit Refined Granite Chair;El Salvador Colon US Dollar Technician;2020-10-08T22:18:02;57267
6;client-driven;Buckinghamshire Intelligent;2020-10-09T15:10:10;36031
7;pink Executive Customizable;Soap;2020-10-09T15:06:40;15792
8;programming Computers;backing up connect Customer;2020-10-09T18:16:22;34027
9;Lead;National Bacon Bedfordshire;2020-10-08T20:12:10;65343
10;array Face to face Won;navigating backing up;2020-10-09T02:59:24;50219
